Subject,Start Date,Start Time,End Date,End Time,Location,Description
Helena Camarero (DJ Set),2024-09-06,14:00,2024-09-06,14:45,Palco Principal,DJ Set
Silvia Machete é Rhonda,2024-09-06,14:30,2024-09-06,15:20,Palco Principal,Show
Lys Ventura (DJ Set),2024-09-06,15:20,2024-09-06,15:50,Palco Principal,DJ Set
Boca Livre,2024-09-06,15:50,2024-09-06,16:45,Palco Principal,Show
Forró Red Light (DJ Set),2024-09-06,16:45,2024-09-06,17:25,Palco Principal,DJ Set
Lenine e Marco Suzano [Olho de Peixe],2024-09-06,17:25,2024-09-06,18:30,Palco Principal,Show
Gus Caram (DJ Set),2024-09-06,18:30,2024-09-06,19:00,Palco Principal,DJ Set
Adriana Calcanhotto e Arnaldo Antunes,2024-09-06,19:00,2024-09-06,20:05,Palco Principal,Show
Tata Ogan (DJ Set),2024-09-06,20:05,2024-09-06,20:40,Palco Principal,DJ Set
O Terno,2024-09-06,20:40,2024-09-06,21:40,Palco Principal,Show
Afreekassia (DJ Set),2024-09-07,12:20,2024-09-07,13:05,Palco Principal,DJ Set
Bebé,2024-09-07,13:05,2024-09-07,13:45,Palco Principal,Show
Dadá Joãozinho,2024-09-07,13:45,2024-09-07,14:15,Palco Principal,DJ Set
Tulipa Ruiz part. Criolo,2024-09-07,14:15,2024-09-07,15:05,Palco Principal,Show
Odara Kadiegi (DJ Set),2024-09-07,15:05,2024-09-07,15:35,Palco Principal,DJ Set
João Bosco (Quarteto),2024-09-07,15:35,2024-09-07,16:30,Palco Principal,Show
Veraneio (DJ Set),2024-09-07,16:30,2024-09-07,17:05,Palco Principal,DJ Set
Sandra Sá + Hyldon + Tássia Reis,2024-09-07,17:05,2024-09-07,18:05,Palco Principal,Show
AMADOPEACE (DJ Set),2024-09-07,18:05,2024-09-07,18:40,Palco Principal,DJ Set
Os Paralamas do Sucesso,2024-09-07,18:40,2024-09-07,19:45,Palco Principal,Show
Deekapz (DJ Set),2024-09-07,19:45,2024-09-07,20:35,Palco Principal,DJ Set
Lulu Santos,2024-09-07,20:35,2024-09-07,21:45,Palco Principal,Show
Lia Macedo (DJ Set),2024-09-08,12:20,2024-09-08,12:50,Palco Principal,Show
Mariana Aydar e Mestrinho,2024-09-08,12:50,2024-09-08,13:40,Palco Principal,DJ Set
Pensanuvem (DJ Set),2024-09-08,13:40,2024-09-08,14:05,Palco Principal,Show
Joyce Alane,2024-09-08,14:05,2024-09-08,14:45,Palco Principal,DJ Set
Só Lyma (DJ Set),2024-09-08,14:45,2024-09-08,15:30,Palco Principal,Show
Xande canta Caetano,2024-09-08,15:30,2024-09-08,16:25,Palco Principal,DJ Set
Kabulom (DJ Set),2024-09-08,16:25,2024-09-08,17:00,Palco Principal,Show
5 a Seco,2024-09-08,17:00,2024-09-08,18:05,Palco Principal,DJ Set
Ubunto (DJ Set),2024-09-08,18:05,2024-09-08,18:40,Palco Principal,Show
Timbalada e Afrodiçíade,2024-09-08,18:40,2024-09-08,19:45,Palco Principal,DJ Set
Yago Oproprio,2024-09-08,19:45,2024-09-08,20:30,Palco Principal,Show
Planet Hemp,2024-09-08,20:30,2024-09-08,21:30,Palco Principal,Show
